País,Renda_per_Capta,Taxa_Acesso_Internet,Taxa_Urbanização,Populacao
Albania,1914.996551,44.98994696,46.72,214.04109589041096
Algeria,2231.993335,12.50007331,65.22,153.32720024532352
Andorra,21943.3399,81.0,88.92,112.46063877642824
Angola,1381.004268,9.999953883,56.7,176.3668430335097
Antigua and Barbuda,11894.46407,80.64545455,30.46,328.29940906106367
Argentina,10749.41924,36.00033495,92.0,108.69565217391303
Armenia,1326.741757,44.00102458,63.86,156.59254619480112
Australia,25249.98606,75.8956538,88.74,112.68875366238451
Austria,26692.98411,72.73157554,67.16,148.89815366289457
Azerbaijan,2344.896916,46.67970157,51.92,192.6040061633282
Bahamas,19630.54055,42.98458017,83.7,119.4743130227001
Bahrain,12505.21254,54.99280903,88.52,112.96882060551287
Bangladesh,558.0628766,3.70000326,27.14,368.45983787767136
Barbados,9243.587053,70.02859927,39.84,251.004016064257
Belarus,2737.670379,32.05214391,73.46,136.12850530901173
Belgium,24496.04826,73.73393447,97.36,102.71158586688578
Belize,3545.652174,12.64573333,51.7,193.42359767891682
Benin,377.0396995,3.129961803,41.2,242.71844660194174
Bermuda,62682.14701,84.65451409,100.0,100.0
Bhutan,1324.194906,13.59887603,34.48,290.0232018561485
Bolivia,1232.794137,20.00171014,65.58,152.48551387618176
Bosnia and Herzegovina,2183.344867,52.00206064,47.44,210.79258010118042
Botswana,4189.436587,5.999835575,59.58,167.84155756965424
Brazil,4699.411262,40.650098,85.58,116.84973124561813
Brunei,17092.46,49.98997494,74.82,133.65410318096767
Bulgaria,2549.558474,45.98658991,71.1,140.64697609001408
Burkina Faso,276.200413,1.4000607,19.56,511.2474437627812
Burundi,115.3059959,2.100212706,10.4,961.5384615384615
Cambodia,557.9475126,1.259933609,21.56,463.82189239332104
Cameroon,713.6393027,3.999977346,56.76,176.18040873854827
Canada,25575.35262,81.33839269,80.4,124.37810945273631
Cape Verde,1959.844472,29.99993952,59.62,167.7289500167729
Central African Rep.,239.5187494,2.300026653,38.58,259.20165889061695
Chad,275.8842865,1.700031496,26.68,374.8125937031484
Chile,6334.105194,45.0,88.44,113.07100859339666
China,2425.471293,34.37778952,43.1,232.0185614849188
Colombia,3233.42378,36.49987464,74.5,134.2281879194631
Comoros,336.3687495,5.098265306,28.08,356.1253561253562
"Congo, Dem. Rep.",103.7758572,0.720008677,33.96,294.4640753828033
"Congo, Rep.",1253.292015,4.999875093,61.34,163.025758069775
Costa Rica,5188.900935,36.49911472,63.26,158.07777426493837
Cote d'Ivoire,591.0679443,2.599973655,48.78,205.00205002050018
Croatia,6338.494668,60.11970702,57.28,174.58100558659217
Cuba,4495.046262,15.89997034,75.66,132.17023526301875
Cyprus,15313.85935,53.02474483,69.9,143.0615164520744
Czech Rep.,7381.312751,68.63813347,73.5,136.05442176870747
Denmark,30532.27704,88.77025387,86.68,115.36686663590217
Djibouti,895.3183396,6.49792351,87.3,114.54753722794959
Dominica,6147.77961,47.28043603,73.92,135.28138528138527
Dominican Rep.,4049.169629,39.53127426,69.02,144.88554042306578
Ecuador,1728.020976,28.99947674,65.58,152.48551387618176
Egypt,1975.551906,26.74002538,42.72,234.08239700374534
El Salvador,2557.433638,15.89998203,60.7,164.74464579901152
Equatorial Guinea,8654.536845,6.003437143,39.38,253.93600812595224
Eritrea,131.796207,5.399666997,20.72,482.6254826254827
Estonia,6238.537506,74.1630403,69.46,143.96775122372588
Ethiopia,220.8912479,0.74999585,17.0,588.2352941176471
Fiji,2230.676374,14.83073588,52.36,190.98548510313216
Finland,27110.73159,86.89884451,63.3,157.9778830963665
France,22878.46657,77.49861935,77.36,129.2657704239917
Gabon,4180.765821,7.232224246,85.04,117.59172154280337
Gambia,354.5997263,9.196775477,56.42,177.2421127259837
Georgia,1258.762596,26.29725148,52.74,189.60940462646946
Germany,25306.18719,82.52689791,73.64,135.79576317218903
Ghana,358.9795398,9.549930701,50.02,199.9200319872051
Greece,13577.87989,44.57007444,61.0,163.9344262295082
Greenland,20751.89342,63.84915272,83.52,119.73180076628354
Grenada,5330.401612,33.61668288,30.84,324.25421530479895
Guatemala,1860.753895,10.49994819,48.58,205.8460271716756
Guinea,411.5014473,0.999958926,34.44,290.36004645760744
Guinea-Bissau,161.3171371,2.450362244,29.84,335.1206434316354
Guyana,1200.652075,29.87992146,28.38,352.36081747709653
Haiti,371.4241975,8.370206884,46.84,213.4927412467976
Honduras,1392.411829,11.09076463,47.88,208.85547201336675
"Hong Kong, China",35536.07247,71.84912394,100.0,100.0
Hungary,5634.003948,65.16325092,67.5,148.14814814814815
Iceland,33945.31442,95.63811321,92.26,108.38933448948622
India,786.7000981,7.499995878,29.54,338.52403520649966
Indonesia,1143.831514,9.900038672,51.46,194.32568985619898
Iran,2161.54651,13.00011072,68.46,146.0706982179375
Iraq,736.2680538,2.471948347,66.6,150.15015015015015
Ireland,27595.09135,69.77039441,61.34,163.025758069775
Israel,22275.75166,65.38778594,91.66,109.09884355225834
Italy,18982.26929,53.7402166,68.08,146.88601645123384
Jamaica,3665.348369,26.47722324,53.3,187.6172607879925
Japan,39309.47886,77.63853515,66.48,150.42117930204572
Jordan,2534.00038,38.88120159,78.42,127.51849018107626
Kazakhstan,2481.718918,33.38212816,57.94,172.59233690024163
Kenya,468.6960436,25.8997967,21.6,462.962962962963
Kiribati,760.262365,8.95914,43.84,228.10218978102185
"Korea, Rep.",16372.49978,82.515928,81.46,122.75963663147557
Kyrgyzstan,372.728414,19.58231645,36.28,275.63395810363835
Laos,554.8798401,6.999880342,30.88,323.8341968911917
Latvia,5011.219456,71.51472354,68.12,146.7997651203758
Lebanon,6746.612632,31.00437828,86.96,114.99540018399266
Lesotho,495.7342469,3.860565398,25.46,392.77297721916733
Liberia,155.0332312,7.000213821,60.14,166.27868307283006
Libya,7885.468037,14.00024673,77.54,128.96569512509672
Liechtenstein,81647.10003,80.0,14.32,698.3240223463687
Lithuania,5332.238591,62.81190001,66.96,149.34289127837516
Luxembourg,52301.58718,90.07952663,82.44,121.300339640951
"Macao, China",33923.31387,56.76408235,100.0,100.0
"Macedonia, FYR",2221.185664,51.91418432,66.9,149.47683109118086
Madagascar,242.6775342,1.699985145,29.52,338.75338753387535
Malawi,184.1417966,2.259975885,18.8,531.9148936170212
Malaysia,5184.709328,56.3000337,70.36,142.1262080727686
